kristal_subscription_id,skey,fund_id,fkey
9770.0,0|14461|1262607,,
17797.0,0|14461|1263198,,
13641.0,0|14461|1264386,,
14583.0,0|14461|1264401,,
14828.0,0|14461|1264402,,
17531.0,0|14461|1266118,,
18517.0,0|14461|1266133,,
20944.0,0|14461|1266161,,
30558.0,0|14461|1267189,,
23574.0,0|14461|1269015,,
9823.0,0|14490|1247440,,
9951.0,0|14646|1263198,,
21836.0,0|14646|1267189,,
17950.0,0|14765|1266123,,
20534.0,0|14765|1266156,,
31721.0,0|14765|1266205,,
31722.0,0|14765|1266206,,
24176.0,0|14765|1267189,,
17553.0,0|14807|1224590,,
30534.0,0|14807|1229622,,
10493.0,0|14807|1247440,,
28508.0,0|14807|1263198,,
17554.0,0|14807|1263794,,
28506.0,0|14807|1267189,,
10323.0,0|14841,,
33161.0,0|14841|1244852,,
16025.0,0|14841|1266109,,
10662.0,0|14864|1263546,,
11575.0,0|14864|1264357,,
10430.0,0|14884,,
26450.0,0|14884|1247440,,
21835.0,0|14884|1269015,,
36682.0,0|14884|1275818,,
11459.0,0|14885|1224590,,
28500.0,0|14885|1244852,,
21207.0,0|14885|1247440,,
11461.0,0|14885|1263794,,
13964.0,0|14885|1264392,,
14001.0,0|14885|1264394,,
21065.0,0|14885|1266165,,
28524.0,0|14885|1269015,,
34431.0,0|14885|1269908,,
39489.0,0|14885|1270394,,
31577.0,0|14885|1272135,,
32750.0,0|14885|1273078,,
32753.0,0|14885|1273079,,
32754.0,0|14885|1273080,,
33806.0,0|14885|1274012,,
36675.0,0|14885|1275818,,
39424.0,0|14885|1277357,,
46461.0,0|14885|1281124,,
46763.0,0|14885|1281250,,
27614.0,0|15164|1211600,,
28258.0,0|15164|1224590,,
10813.0,0|15164|1247440,,
30284.0,0|15164|1263794,,
11983.0,0|15219,,
11102.0,0|15331|1263551,,
20876.0,0|15332|1263198,,
11103.0,0|15332|1263554,,
13644.0,0|15332|1264388,,
17956.0,0|15332|1266124,,
27135.0,0|15332|1271154,,
43198.0,0|15332|1280478,,
11765.0,0|15345|1244852,,
12882.0,0|15345|1260832,,
13270.0,0|15345|1263794,,
12621.0,0|15394|1260832,,
13260.0,0|15414|1224590,,
13263.0,0|15414|1263794,,
12127.0,0|15414|1264586,,
36770.0,0|15414|1269874,,
65600.0,0|15414|1272135,,
36683.0,0|15414|1275818,,
37566.0,0|15414|1276378,,
65965.0,0|15414|1288378,,
66581.0,0|15414|1288915,,
2068012.0,0|15414|1289607,,
13257.0,0|15417|1224590,,
13259.0,0|15417|1263794,,
65605.0,0|15417|1272135,,
39742.0,0|15417|1277627,,
46255.0,0|15417|1278267,,
46462.0,0|15417|1281124,,
65004.0,0|15417|1287813,,
65966.0,0|15417|1288378,,
66579.0,0|15417|1288915,,
2068140.0,0|15417|1289616,,
13262.0,0|15423|1224590,,
13265.0,0|15423|1263794,,
67218.0,0|15423|1269874,,
65620.0,0|15423|1272135,,
38168.0,0|15423|1276546,,
13261.0,0|15426|1224590,,
13264.0,0|15426|1263794,,
12098.0,0|15426|1264586,,
65638.0,0|15426|1272135,,
39744.0,0|15426|1277627,,
42792.0,0|15426|1278267,,
40704.0,0|15426|1278459,,
65007.0,0|15426|1287812,,
65963.0,0|15426|1288378,,
66578.0,0|15426|1288915,,
12097.0,0|15456|1264586,,
19479.0,0|15464|1247440,,
15273.0,0|15464|1263794,,
26739.0,0|15464|1267189,,
35395.0,0|15464|1274879,,
40225.0,0|15464|1278111,,
40679.0,0|15464|1278460,,
49861.0,0|15464|1282500,,
49956.0,0|15464|1282697,,
49954.0,0|15464|1282698,,
2072923.0,0|15464|1294343,,
38957.0,0|15607|1269874,,
38958.0,0|15607|1275505,,
12110.0,0|15654|1211600,,
21202.0,0|15654|1247440,,
43388.0,0|15654|1280657,,
13266.0,0|15672|1224590,,
13271.0,0|15672|1263794,,
34930.0,0|15672|1271154,,
40700.0,0|15672|1278459,,
50973.0,0|15672|1280948,,
